SKU,SPH,CYL,当前库存
-3.50/-0.50,-3.50,-0.50,7
-3.50/-0.75,-3.50,-0.75,1
-3.50/-1.00,-3.50,-1.00,5
-3.50/-1.25,-3.50,-1.25,3
-3.50/-1.50,-3.50,-1.50,2
-3.50/-1.75,-3.50,-1.75,3
-3.50/-2.00,-3.50,-2.00,4
-3.75/0.00,-3.75,0.00,4
-3.75/-0.25,-3.75,-0.25,1
-3.75/-0.50,-3.75,-0.50,3
-3.75/-0.75,-3.75,-0.75,2
-3.75/-1.00,-3.75,-1.00,6
-3.75/-1.25,-3.75,-1.25,2
-3.75/-1.50,-3.75,-1.50,4
-3.75/-1.75,-3.75,-1.75,4
-3.75/-2.00,-3.75,-2.00,2
-4.00/0.00,-4.00,0.00,1
-4.00/-0.25,-4.00,-0.25,2
-4.00/-0.50,-4.00,-0.50,2
-4.00/-0.75,-4.00,-0.75,5
-4.00/-1.00,-4.00,-1.00,1
-4.00/-1.25,-4.00,-1.25,4
-4.00/-1.50,-4.00,-1.50,1
-4.00/-1.75,-4.00,-1.75,3
-4.00/-2.00,-4.00,-2.00,1
-4.25/0.00,-4.25,0.00,2
-4.25/-0.25,-4.25,-0.25,1
-4.25/-0.50,-4.25,-0.50,3
-4.25/-0.75,-4.25,-0.75,1
-4.25/-1.00,-4.25,-1.00,4
-4.25/-1.25,-4.25,-1.25,2
-4.25/-1.50,-4.25,-1.50,3
-4.25/-1.75,-4.25,-1.75,4
-4.25/-2.00,-4.25,-2.00,4
-4.50/0.00,-4.50,0.00,3
-4.50/-0.25,-4.50,-0.25,2
-4.50/-0.50,-4.50,-0.50,2
-4.50/-0.75,-4.50,-0.75,4
-4.50/-1.00,-4.50,-1.00,3
-4.50/-1.25,-4.50,-1.25,3
-4.50/-1.50,-4.50,-1.50,1
-4.50/-1.75,-4.50,-1.75,4
-4.50/-2.00,-4.50,-2.00,2
-4.75/0.00,-4.75,0.00,4
-4.75/-0.25,-4.75,-0.25,2
-4.75/-0.50,-4.75,-0.50,3
-4.75/-0.75,-4.75,-0.75,1
-4.75/-1.00,-4.75,-1.00,4
-4.75/-1.25,-4.75,-1.25,1
-4.75/-1.50,-4.75,-1.50,2
-4.75/-1.75,-4.75,-1.75,4
-4.75/-2.00,-4.75,-2.00,3
-5.00/0.00,-5.00,0.00,2
-5.00/-0.25,-5.00,-0.25,2
-5.00/-0.50,-5.00,-0.50,3
-5.00/-0.75,-5.00,-0.75,2
-5.00/-1.00,-5.00,-1.00,3
-5.00/-1.25,-5.00,-1.25,4
-5.00/-1.50,-5.00,-1.50,2
-5.00/-1.75,-5.00,-1.75,4
-5.00/-2.00,-5.00,-2.00,4
-5.25/0.00,-5.25,0.00,3
-5.25/-0.25,-5.25,-0.25,0
-5.25/-0.50,-5.25,-0.50,0
-5.25/-0.75,-5.25,-0.75,4
-5.25/-1.00,-5.25,-1.00,2
-5.25/-1.25,-5.25,-1.25,3
-5.25/-1.50,-5.25,-1.50,4
-5.25/-1.75,-5.25,-1.75,4
-5.25/-2.00,-5.25,-2.00,3
-5.50/0.00,-5.50,0.00,2
-5.50/-0.25,-5.50,-0.25,2
-5.50/-0.50,-5.50,-0.50,2
-5.50/-0.75,-5.50,-0.75,3
-5.50/-1.00,-5.50,-1.00,4
-5.50/-1.25,-5.50,-1.25,3
-5.50/-1.50,-5.50,-1.50,4
-5.50/-1.75,-5.50,-1.75,5
-5.50/-2.00,-5.50,-2.00,4
-5.75/0.00,-5.75,0.00,3
-5.75/-0.25,-5.75,-0.25,2
-5.75/-0.50,-5.75,-0.50,2
-5.75/-0.75,-5.75,-0.75,3
-5.75/-1.00,-5.75,-1.00,2
-5.75/-1.25,-5.75,-1.25,2
-5.75/-1.50,-5.75,-1.50,4
-5.75/-1.75,-5.75,-1.75,1
-5.75/-2.00,-5.75,-2.00,3
-6.00/0.00,-6.00,0.00,4
-6.00/-0.25,-6.00,-0.25,1
-6.00/-0.50,-6.00,-0.50,1
-6.00/-0.75,-6.00,-0.75,4
-6.00/-1.00,-6.00,-1.00,3
-6.00/-1.25,-6.00,-1.25,3
-6.00/-1.50,-6.00,-1.50,3
-6.00/-1.75,-6.00,-1.75,2
-6.00/-2.00,-6.00,-2.00,4
